ID,District
1,Jerusalem
2,north
3,Center
4,Haifa
5,south
6,Tel Aviv
7,Haifa
8,Yehuda and Shomron
9,Tel Aviv
10,south
11,north
12,north
13,south
14,Haifa
15,Center
16,Center
17,Yehuda and Shomron
18,Yehuda and Shomron
19,north
20,Yehuda and Shomron
21,Yehuda and Shomron
22,south
23,south
24,south
25,Haifa
26,south
27,Center
28,south
29,north
30,north
31,north
32,north
33,Yehuda and Shomron
34,Yehuda and Shomron
35,north
36,Center
37,north
38,Jerusalem
39,Yehuda and Shomron
40,Tel Aviv
41,Center
42,south
43,Haifa
44,Haifa
45,north
46,north
47,Center
48,Tel Aviv
49,north
50,north
51,Center
52,Haifa
53,north
54,Haifa
55,Yehuda and Shomron
56,Center
57,Tel Aviv
58,Center
59,Center
60,north
61,Yehuda and Shomron
62,Center
63,Center
64,Center
65,Center
66,Haifa
67,north
68,north
69,north
70,south
71,Center
72,north
73,north
74,north
75,Center
76,south
77,Yehuda and Shomron
78,Yehuda and Shomron
79,Tel Aviv
80,Haifa
81,Haifa
82,Center
83,north
84,south
85,Center
86,Center
87,Haifa
88,Tel Aviv
89,south
90,Haifa
91,Center
92,south
93,north
94,Haifa
95,north
96,Haifa
97,north
98,north
99,north
100,Center
101,Center
102,Haifa
103,north
104,north
105,north
106,Center
107,Center
108,south
109,north
110,north
111,north
112,south
113,Jerusalem
114,north
115,north
116,north
117,Center
118,south
119,north
120,north
121,Center
122,north
123,north
124,Center
125,north
126,north
127,north
128,Center
129,Center
130,Haifa
131,Tel Aviv
132,north
133,north
134,Center
135,south
136,Center
137,south
138,south
139,north
140,Jerusalem
141,north
142,north
143,north
144,north
145,north
146,north
147,Yehuda and Shomron
148,Center
149,Yehuda and Shomron
150,Center
151,north
152,north
153,Yehuda and Shomron
154,Jerusalem
155,north
156,south
157,Haifa
158,north
159,north
160,Yehuda and Shomron
161,Yehuda and Shomron
162,north
163,Haifa
164,north
165,south
166,north
167,south
168,north
169,north
170,north
171,south
172,Center
173,north
174,Center
175,north
176,north
177,Haifa
178,south
179,Center
180,north
181,Center
182,north
183,north
184,south
185,north
186,north
187,north
188,north
189,north
190,Yehuda and Shomron
191,north
192,north
193,Center
194,north
195,Center
196,Haifa
197,north
198,north
199,Yehuda and Shomron
200,south
201,Haifa
202,south
203,Haifa
204,north
205,north
206,Haifa
207,Center
208,Center
209,north
210,Yehuda and Shomron
211,Center
212,Center
213,north
214,Tel Aviv
215,Yehuda and Shomron
216,Haifa
217,Haifa
218,south
219,Haifa
220,Haifa
221,Jerusalem
222,Haifa
223,south
224,Center
225,north
226,Yehuda and Shomron
227,north
228,Center
229,north
230,Center
231,south
232,Center
233,north
234,Haifa
235,Center
236,Tel Aviv
237,Tel Aviv
238,north
239,south
240,Center
241,north
242,south
243,south
244,south
245,Center
246,Yehuda and Shomron
247,north
248,north
249,south
250,south
251,north
252,Tel Aviv
253,Center
254,south
255,south
